Date,Selected_Asset
2023-01-03,SPY
2023-01-04,SPY
2023-01-05,SPY
2023-01-06,SPY
2023-01-09,SPY
2023-01-10,SPY
2023-01-11,SPY
2023-01-12,SPY
2023-01-13,SPY
2023-01-17,SPY
2023-01-18,SPY
2023-01-19,SPY
2023-01-20,SPY
2023-01-23,SPY
2023-01-24,SPY
2023-01-25,SPY
2023-01-26,SPY
2023-01-27,SPY
2023-01-30,SPY
2023-01-31,SPY
2023-02-01,NVDA
2023-02-02,NVDA
2023-02-03,NVDA
2023-02-06,NVDA
2023-02-07,NVDA
2023-02-08,NVDA
2023-02-09,NVDA
2023-02-10,NVDA
2023-02-13,NVDA
2023-02-14,NVDA
2023-02-15,NVDA
2023-02-16,NVDA
2023-02-17,NVDA
2023-02-21,NVDA
2023-02-22,NVDA
2023-02-23,NVDA
2023-02-24,NVDA
2023-02-27,NVDA
2023-02-28,NVDA
2023-03-01,NVDA
2023-03-02,NVDA
2023-03-03,NVDA
2023-03-06,NVDA
2023-03-07,NVDA
2023-03-08,NVDA
2023-03-09,NVDA
2023-03-10,NVDA
2023-03-13,NVDA
2023-03-14,NVDA
2023-03-15,NVDA
2023-03-16,NVDA
2023-03-17,NVDA
2023-03-20,NVDA
2023-03-21,NVDA
2023-03-22,NVDA
2023-03-23,NVDA
2023-03-24,NVDA
2023-03-27,NVDA
2023-03-28,NVDA
2023-03-29,NVDA
2023-03-30,NVDA
2023-03-31,NVDA
2023-04-03,NVDA
2023-04-04,NVDA
2023-04-05,NVDA
2023-04-06,MSFT
2023-04-10,MSFT
2023-04-11,MSFT
2023-04-12,MSFT
2023-04-13,MSFT
2023-04-14,AAPL
2023-04-17,AAPL
2023-04-18,AAPL
2023-04-19,AAPL
2023-04-20,AAPL
2023-04-21,SPY
2023-04-24,SPY
2023-04-25,SPY
2023-04-26,SPY
2023-04-27,SPY
2023-04-28,MSFT
2023-05-01,MSFT
2023-05-02,MSFT
2023-05-03,MSFT
2023-05-04,MSFT
2023-05-05,MSFT
2023-05-08,MSFT
2023-05-09,MSFT
2023-05-10,MSFT
2023-05-11,MSFT
2023-05-12,MSFT
2023-05-15,MSFT
2023-05-16,MSFT
2023-05-17,MSFT
2023-05-18,MSFT
2023-05-19,NVDA
2023-05-22,NVDA
2023-05-23,NVDA
2023-05-24,NVDA
2023-05-25,NVDA
2023-05-26,NVDA
2023-05-30,NVDA
2023-05-31,NVDA
2023-06-01,NVDA
2023-06-02,NVDA
2023-06-05,NVDA
2023-06-06,NVDA
2023-06-07,NVDA
2023-06-08,NVDA
2023-06-09,NVDA
2023-06-12,NVDA
2023-06-13,NVDA
2023-06-14,NVDA
2023-06-15,NVDA
2023-06-16,NVDA
2023-06-20,NVDA
2023-06-21,NVDA
2023-06-22,NVDA
2023-06-23,NVDA
2023-06-26,NVDA
2023-06-27,NVDA
2023-06-28,NVDA
2023-06-29,NVDA
